status,provincia,cidade,bairro,Completas,Nao conseguimos,Rejected,Sim visitar,Approved,sampled
APPROVED,Cabo Delgado,Pemba,Alto Gigone,4,1,0,0,5,5
APPROVED,Cabo Delgado,Pemba,Areia Vermelha Lado De Viver,1,0,0,0,1,1
APPROVED,Cabo Delgado,Pemba,Cariaco,5,3,0,0,8,8
APPROVED,Cabo Delgado,Pemba,Expansão,2,1,0,0,3,3
APPROVED,Cabo Delgado,Pemba,Ingonani,1,2,0,0,3,3
APPROVED,Cabo Delgado,Pemba,Josina Machel,5,1,0,0,6,6
APPROVED,Cabo Delgado,Pemba,Mahate,0,1,0,0,1,1
APPROVED,Cabo Delgado,Pemba,Manhide,0,1,0,0,1,1
APPROVED,Cabo Delgado,Pemba,Natipe,5,2,0,0,7,7
APPROVED,Gaza,Chibuto,Bairro 2,1,0,0,0,1,1
APPROVED,Gaza,Chicumbane,Bairro 4,1,0,0,0,1,1
APPROVED,Gaza,Chokwé,Quarto Bairro,2,3,0,0,5,5
APPROVED,Gaza,Chokwé,Quinto Bairro,10,2,0,0,12,12
APPROVED,Gaza,Chokwé,Segundo Bairo,2,0,0,0,2,2
APPROVED,Gaza,Chokwé,Setimo Bairro,1,1,0,0,2,2
APPROVED,Gaza,Chokwé,Sexto Bairro,2,0,0,0,2,2
APPROVED,Gaza,Chokwé,Sonho Rural,19,7,0,0,26,26
APPROVED,Gaza,Chokwé,Terceiro Bairro,1,1,0,0,2,2
APPROVED,Gaza,Chonguene,Bango,1,0,0,0,1,1
APPROVED,Gaza,Chonguene,Fidel Castro,1,1,0,0,2,2
APPROVED,Gaza,Chonguene,Maciene,0,1,0,0,1,1
APPROVED,Gaza,Chonguene,Nhoquene,0,2,0,0,2,2
APPROVED,Gaza,Chonguene,Rua De Chicombene,0,1,0,0,1,1
APPROVED,Gaza,Chonguene,Segundo Bairro,0,1,0,0,1,1
APPROVED,Gaza,Chonguene,Sonho Rural,12,6,0,0,18,18
APPROVED,Gaza,Chonguene,Terceiro Bairro,1,1,0,0,2,2
APPROVED,Gaza,Hokwe,Setimo Bairro,1,0,0,0,1,1
APPROVED,Gaza,Limpopo,Bairro 2,2,0,0,0,2,2
APPROVED,Gaza,Limpopo,Bango,1,0,0,0,1,1
APPROVED,Gaza,Limpopo,Chissano,0,2,0,0,2,2
APPROVED,Gaza,Limpopo,Sonho Rural,15,10,0,0,25,25
APPROVED,Gaza,Limpopo,Xikubane,1,0,0,0,1,1
APPROVED,Gaza,Lionde,Quarto Bairro,0,1,0,0,1,1
APPROVED,Gaza,Macia,Bairro 3,1,0,0,0,1,1
APPROVED,Gaza,Madjacaze,Samora Machel,0,1,0,0,1,1
APPROVED,Gaza,Xai-Xai,1 Inhamissa,0,1,0,0,1,1
APPROVED,Gaza,Xai-Xai,2 Chicumbane,1,2,0,0,3,3
APPROVED,Gaza,Xai-Xai,2000,2,1,0,0,3,3
APPROVED,Gaza,Xai-Xai,25 De Junho,1,0,0,0,1,1
APPROVED,Gaza,Xai-Xai,4 Guoanine,1,0,0,0,1,1
APPROVED,Gaza,Xai-Xai,Bairro 11,0,1,0,0,1,1
APPROVED,Gaza,Xai-Xai,Bango,2,0,0,0,2,2
APPROVED,Gaza,Xai-Xai,Chilenguene,2,0,0,0,2,2
APPROVED,Gaza,Xai-Xai,Chissano,1,1,0,0,2,2
APPROVED,Gaza,Xai-Xai,Chonguene,9,2,0,0,11,11
APPROVED,Gaza,Xai-Xai,Fidel Castro,6,1,0,0,7,7
APPROVED,Gaza,Xai-Xai,Limpopo,1,0,0,0,1,1
APPROVED,Gaza,Xai-Xai,Massiene,1,0,0,0,1,1
APPROVED,Gaza,Xai-Xai,Ngulelene,4,0,0,0,4,4
APPROVED,Gaza,Xai-Xai,Patrice Lumumba,5,1,0,0,6,6
APPROVED,Gaza,Xai-Xai,Primeiro Bairro,1,1,0,0,2,2
APPROVED,Gaza,Xai-Xai,Sonho Rural,27,6,0,0,33,33
APPROVED,Gaza,Xai-Xai,Terceiro Bairro,2,0,0,0,2,2
APPROVED,Gaza,Xai-Xai,Venhene,1,0,0,0,1,1
APPROVED,Gaza,Xai-Xai,Xicumbane,1,0,0,0,1,1
APPROVED,Maputo Cidade,Maputo,25 De Junho A,2,0,0,0,2,2
APPROVED,Maputo Cidade,Maputo,25 De Junho B,3,0,0,0,3,3
APPROVED,Maputo Cidade,Maputo,3 De Fevereiro,1,1,0,0,2,2
APPROVED,Maputo Cidade,Maputo,Aeroporto A,26,11,0,0,37,37
APPROVED,Maputo Cidade,Maputo,Aeroporto B,31,6,0,0,37,37
APPROVED,Maputo Cidade,Maputo,Albazine,25,15,0,0,40,40
APPROVED,Maputo Cidade,Maputo,Alto Mae B,2,0,0,0,2,2
APPROVED,Maputo Cidade,Maputo,Bagamoio,4,1,0,0,5,5
APPROVED,Maputo Cidade,Maputo,Benfica,2,0,0,0,2,2
APPROVED,Maputo Cidade,Maputo,Central A,5,1,0,0,6,6
APPROVED,Maputo Cidade,Maputo,Chamanculo A,9,1,0,0,10,10
APPROVED,Maputo Cidade,Maputo,Chamanculo B,18,5,0,0,23,23
APPROVED,Maputo Cidade,Maputo,Chamanculo C,50,14,0,0,64,64
APPROVED,Maputo Cidade,Maputo,Chamanculo D,21,3,0,0,24,24
APPROVED,Maputo Cidade,Maputo,Choupal,1,0,0,0,1,1
APPROVED,Maputo Cidade,Maputo,Comule,0,2,0,0,2,2
APPROVED,Maputo Cidade,Maputo,Coop,0,2,0,0,2,2
APPROVED,Maputo Cidade,Maputo,Costa Sol,1,0,0,0,1,1
APPROVED,Maputo Cidade,Maputo,Ferroviario,48,6,0,0,54,54
APPROVED,Maputo Cidade,Maputo,George Dimitrov,4,1,0,0,5,5
APPROVED,Maputo Cidade,Maputo,Hulene A,4,3,0,0,7,7
APPROVED,Maputo Cidade,Maputo,Hulene B,14,4,0,0,18,18
APPROVED,Maputo Cidade,Maputo,Inhagoia A,35,8,0,0,43,43
APPROVED,Maputo Cidade,Maputo,Inhagoia B,15,3,0,0,18,18
APPROVED,Maputo Cidade,Maputo,Jardim,1,4,0,0,5,5
APPROVED,Maputo Cidade,Maputo,Laulane,4,2,0,0,6,6
APPROVED,Maputo Cidade,Maputo,Luis Cabral,11,1,0,0,12,12
APPROVED,Maputo Cidade,Maputo,Mafalala,0,1,0,0,1,1
APPROVED,Maputo Cidade,Maputo,Magoanine A,14,7,0,0,21,21
APPROVED,Maputo Cidade,Maputo,Magoanine B,13,5,0,0,18,18
APPROVED,Maputo Cidade,Maputo,Magoanine C,49,11,0,0,60,60
APPROVED,Maputo Cidade,Maputo,Magoanine D,0,1,0,0,1,1
APPROVED,Maputo Cidade,Maputo,Mahotas,23,5,0,0,28,28
APPROVED,Maputo Cidade,Maputo,Malanga,5,1,0,0,6,6
APPROVED,Maputo Cidade,Maputo,Malhangalene A,0,2,0,0,2,2
APPROVED,Maputo Cidade,Maputo,Malhazine,1,1,0,0,2,2
APPROVED,Maputo Cidade,Maputo,Mavalane A,1,0,0,0,1,1
APPROVED,Maputo Cidade,Maputo,Mavalane B,1,1,0,0,2,2
APPROVED,Maputo Cidade,Maputo,Maxaquene A,4,0,0,0,4,4
APPROVED,Maputo Cidade,Maputo,Maxaquene B,8,1,0,0,9,9
APPROVED,Maputo Cidade,Maputo,Maxaquene C,11,1,0,0,12,12
APPROVED,Maputo Cidade,Maputo,Maxaquene D,13,1,0,0,14,14
APPROVED,Maputo Cidade,Maputo,Minkadjuine,3,0,0,0,3,3
APPROVED,Maputo Cidade,Maputo,Muhalaze,1,0,0,0,1,1
APPROVED,Maputo Cidade,Maputo,Nhagobe,1,0,0,0,1,1
APPROVED,Maputo Cidade,Maputo,Nhagoi,9,2,0,0,11,11
APPROVED,Maputo Cidade,Maputo,Nsalene,1,0,0,0,1,1
APPROVED,Maputo Cidade,Maputo,Polana Caniço A,41,17,0,0,58,58
APPROVED,Maputo Cidade,Maputo,Polana Caniço B,73,25,0,0,98,98
APPROVED,Maputo Cidade,Maputo,Polana Cimento A,2,1,0,0,3,3
APPROVED,Maputo Cidade,Maputo,Sem Bairro,4,1,0,0,5,5
APPROVED,Maputo Cidade,Maputo,Unidade,2,0,0,0,2,2
APPROVED,Maputo Cidade,Maputo,Urbanização,2,0,0,0,2,2
APPROVED,Maputo Cidade,Maputo,Xihango,1,0,0,0,1,1
APPROVED,Maputo Cidade,Maputo,Xipamanine,3,1,0,0,4,4
APPROVED,Maputo Cidade,Maputo,Zimpeto,9,6,0,0,15,15
APPROVED,Maputo Provincia,Boane,Bairro 1,1,0,0,0,1,1
APPROVED,Maputo Provincia,Boane,Bairro 2,2,0,0,0,2,2
APPROVED,Maputo Provincia,Boane,Bairro 7,1,0,0,0,1,1
APPROVED,Maputo Provincia,Boane,Beleluane,1,0,0,0,1,1
APPROVED,Maputo Provincia,Boane,Campoane,1,0,0,0,1,1
APPROVED,Maputo Provincia,Boane,Km16,1,0,0,0,1,1
APPROVED,Maputo Provincia,Boane,Mahubo,1,0,0,0,1,1
APPROVED,Maputo Provincia,Boane,Matutuine,5,3,0,0,8,8
APPROVED,Maputo Provincia,Boane,Paulo Samuel Kakomba,1,0,0,0,1,1
