status,provincia,cidade,Completas,Nao conseguimos,Rejected,Sim visitar,Approved,sampled
APPROVED,Cabo Delgado,Pemba,23,12,0,0,35,35
APPROVED,Gaza,Chibuto,1,0,0,0,1,1
APPROVED,Gaza,Chicumbane,1,0,0,0,1,1
APPROVED,Gaza,Chokwé,37,14,0,0,51,51
APPROVED,Gaza,Chonguene,15,13,0,0,28,28
APPROVED,Gaza,Hokwe,1,0,0,0,1,1
APPROVED,Gaza,Limpopo,19,12,0,0,31,31
APPROVED,Gaza,Lionde,0,1,0,0,1,1
APPROVED,Gaza,Macia,1,0,0,0,1,1
APPROVED,Gaza,Madjacaze,0,1,0,0,1,1
APPROVED,Gaza,Xai-Xai,68,17,0,0,85,85
APPROVED,Maputo Cidade,Maputo,632,185,0,0,817,817
APPROVED,Maputo Provincia,Boane,15,4,0,0,19,19
APPROVED,Maputo Provincia,Kathembe,1,0,0,0,1,1
APPROVED,Maputo Provincia,Manhiça,21,13,0,0,34,34
APPROVED,Maputo Provincia,Marracuene,8,5,0,0,13,13
APPROVED,Maputo Provincia,Matola,172,63,0,0,235,235
APPROVED,Maputo Provincia,Matutuine,35,13,0,0,48,48
APPROVED,Maputo Provincia,Namaacha,34,7,0,0,41,41
APPROVED,Sofala,Beira,168,45,0,0,213,213
APPROVED,Zambézia,Nicoadala,39,8,0,0,47,47
APPROVED,Zambézia,Quelimane,29,10,0,0,39,39
APPROVED,Zambézia,Zavala,1,0,0,0,1,1
